AN_BASE;NM_GRANDE_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;NM_SUBAREA_CONHECIMENTO;NM_ESPECIALIDADE;CD_AREA_AVALIACAO;NM_AREA_AVALIACAO;CD_ENTIDADE_CAPES;CD_ENTIDADE_EMEC;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;CS_STATUS_JURIDICO;DS_DEPENDENCIA_ADMINISTRATIVA;DS_ORGANIZACAO_ACADEMICA;NM_REGIAO;NM_MUNICIPIO_PROGRAMA_IES;NM_MODALIDADE_PROGRAMA;CD_PROGRAMA_IES;NM_PROGRAMA_IES;NM_PROGRAMA_IDIOMA;SG_UF_PROGRAMA;NM_GRAU_PROGRAMA;CD_CONCEITO_PROGRAMA;ANO_INICIO_PROGRAMA;AN_INICIO_CURSO;IN_REDE;SG_ENTIDADE_ENSINO_REDE;DS_SITUACAO_PROGRAMA;DT_SITUACAO_PROGRAMA;ID_ADD_FOTO_PROGRAMA_IES;ID_ADD_FOTO_PROGRAMA;DS_CLIENTELA_QUADRIENAL_2017
2016;CIÊNCIAS BIOLÓGICAS;PARASITOLOGIA;NÃO SE APLICA;NÃO SE APLICA;9;CIÊNCIAS BIOLÓGICAS III;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;PORTO VELHO;ACADÊMICO;10001018002P1;BIOLOGIA EXPERIMENTAL;EXPERIMENTAL BIOLOGY;RO;MESTRADO/DOUTORADO;3;2001;2001/2005;NÃO;NA;EM FUNCIONAMENTO;30DEC2013:00:00:00;121358;57437;AVALIAÇÃO
2016;MULTIDISCIPLINAR;INTERDISCIPLINAR;MEIO AMBIENTE E AGRÁRIAS;NÃO SE APLICA;45;INTERDISCIPLINAR;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;PORTO VELHO;ACADÊMICO;10001018004P4;DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE;PROGRAM POSGRADUATED IN THE DEVELOPMENT REGIONAL AND ENVIRONMENT;RO;MESTRADO/DOUTORADO;4;1999;1999/2013;NÃO;NA;EM FUNCIONAMENTO;13NOV2013:00:00:00;122262;58288;AVALIAÇÃO
2016;CIÊNCIAS HUMANAS;GEOGRAFIA;NÃO SE APLICA;NÃO SE APLICA;36;GEOGRAFIA;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;PORTO VELHO;ACADÊMICO;10001018005P0;GEOGRAFIA;MASTERS IN GEOGRAPHY, FEDERAL UNIVERSITY OF RONDÔNIA;RO;MESTRADO/DOUTORADO;4;2006;2006/2015;NÃO;NA;EM FUNCIONAMENTO;19JUN2013:00:00:00;123170;59126;AVALIAÇÃO
2016;CIÊNCIAS SOCIAIS APLICADAS;ADMINISTRAÇÃO;NÃO SE APLICA;NÃO SE APLICA;27;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;PORTO VELHO;ACADÊMICO;10001018006P7;ADMINISTRAÇÃO;MASTER IN ADMINISTRATION;RO;MESTRADO;4;2006;2006;NÃO;NA;EM FUNCIONAMENTO;30DEC2013:00:00:00;122595;58559;AVALIAÇÃO
2016;CIÊNCIAS HUMANAS;PSICOLOGIA;NÃO SE APLICA;NÃO SE APLICA;37;PSICOLOGIA;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;PORTO VELHO;ACADÊMICO;10001018009P6;PSICOLOGIA;GRADUATE PROGRAM PSYCOLOGY;RO;MESTRADO;3;2009;2009;NÃO;NA;EM FUNCIONAMENTO;29MAY2013:00:00:00;121783;57820;AVALIAÇÃO
2016;LINGÜÍSTICA, LETRAS E ARTES;LETRAS;NÃO SE APLICA;NÃO SE APLICA;41;LETRAS / LINGUÍSTICA;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;PORTO VELHO;ACADÊMICO;10001018010P4;LETRAS;MASTER DEGREE: MESTRADO ACADÊMICO EM LETRAS;RO;MESTRADO;3;2010;2010;NÃO;NA;EM FUNCIONAMENTO;23APR2013:00:00:00;125258;60913;AVALIAÇÃO
2016;CIÊNCIAS HUMANAS;EDUCAÇÃO;NÃO SE APLICA;NÃO SE APLICA;38;EDUCAÇÃO;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;PORTO VELHO;ACADÊMICO;10001018011P0;EDUCAÇÃO;ACADEMIC MASTER'S DEGREE IN EDUCATION;RO;MESTRADO;3;2010;2010;NÃO;NA;EM FUNCIONAMENTO;20MAR2012:00:00:00;122163;58186;AVALIAÇÃO
2016;LINGÜÍSTICA, LETRAS E ARTES;LETRAS;LITERATURA COMPARADA;NÃO SE APLICA;41;LETRAS / LINGUÍSTICA;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;PORTO VELHO;ACADÊMICO;10001018012P7;ESTUDOS LITERÁRIOS;LITERARY STUDIES;RO;MESTRADO;3;2011;2011;NÃO;NA;EM FUNCIONAMENTO;25FEB2014:00:00:00;123441;59347;AVALIAÇÃO
2016;MULTIDISCIPLINAR;INTERDISCIPLINAR;SAÚDE E BIOLÓGICAS;NÃO SE APLICA;45;INTERDISCIPLINAR;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;PORTO VELHO;PROFISSIONAL;10001018013P3;ENSINO EM CIÊNCIAS DA SAÚDE;MASTERS IN TEACHING HEALTH SCIENCES;RO;MESTRADO PROFISSIONAL;3;2012;2012;NÃO;NA;EM FUNCIONAMENTO;19NOV2012:00:00:00;123869;59782;AVALIAÇÃO
2016;MULTIDISCIPLINAR;INTERDISCIPLINAR;SOCIAIS E HUMANIDADES;NÃO SE APLICA;45;INTERDISCIPLINAR;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;PORTO VELHO;ACADÊMICO;10001018015P6;HISTÓRIA E ESTUDOS CULTURAIS;HISTORY AND CULTURAL STUDIES;RO;MESTRADO;3;2012;2012;NÃO;NA;EM FUNCIONAMENTO;14NOV2012:00:00:00;125250;60897;AVALIAÇÃO
