CD_PROGRAMA_IES,AN_BASE,CD_AREA_AVALIACAO,CD_CURSO_PPG,CD_CONCEITO_CURSO
10001018002P1,2013,9,2,3.0
10001018002P1,2014,9,2,3.0
10001018002P1,2015,9,2,3.0
10001018002P1,2016,9,2,3.0
10001018002P1,2017,9,2,4.0
10001018002P1,2018,9,2,4.0
10001018002P1,2019,9,2,4.0
10001018004P4,2013,45,2,4.0
10001018004P4,2014,45,2,4.0
10001018004P4,2015,45,2,4.0
10001018004P4,2016,45,2,4.0
10001018004P4,2017,45,2,4.0
10001018004P4,2018,45,2,4.0
10001018004P4,2019,45,2,4.0
10001018005P0,2013,36,2,4.0
10001018005P0,2014,36,2,4.0
10001018005P0,2015,36,2,4.0
10001018005P0,2016,36,2,4.0
10001018005P0,2017,36,2,4.0
10001018005P0,2018,36,2,4.0
10001018005P0,2019,36,2,4.0
10001018006P7,2013,27,1,4.0
10001018006P7,2014,27,1,4.0
10001018006P7,2015,27,1,4.0
10001018006P7,2016,27,1,4.0
10001018006P7,2017,27,1,3.0
10001018006P7,2018,27,1,3.0
10001018006P7,2019,27,1,3.0
10001018008P0,2013,41,1,2.0
10001018009P6,2013,37,1,3.0
10001018009P6,2014,37,1,3.0
10001018009P6,2015,37,1,3.0
10001018009P6,2016,37,1,3.0
10001018009P6,2017,37,1,3.0
10001018009P6,2018,37,1,3.0
10001018009P6,2019,37,1,3.0
10001018010P4,2013,41,1,3.0
10001018010P4,2014,41,1,3.0
10001018010P4,2015,41,1,3.0
10001018010P4,2016,41,1,3.0
10001018010P4,2017,41,1,3.0
10001018010P4,2018,41,1,3.0
10001018010P4,2019,41,1,3.0
10001018011P0,2013,38,1,3.0
10001018011P0,2014,38,1,3.0
10001018011P0,2015,38,1,3.0
10001018011P0,2016,38,1,3.0
10001018011P0,2017,38,1,4.0
10001018011P0,2018,38,1,4.0
10001018011P0,2019,38,1,4.0
10001018012P7,2013,41,1,3.0
10001018012P7,2014,41,1,3.0
10001018012P7,2015,41,1,3.0
10001018012P7,2016,41,1,3.0
10001018012P7,2017,41,1,3.0
10001018012P7,2018,41,1,3.0
10001018012P7,2019,41,1,3.0
10001018013P3,2013,45,1,3.0
10001018013P3,2016,45,1,3.0
10001018013P3,2017,45,1,1.0
10001018015P6,2013,45,1,3.0
10001018015P6,2014,45,1,3.0
10001018015P6,2015,45,1,3.0
10001018015P6,2016,45,1,3.0
10001018016P2,2014,38,1,3.0
10001018016P2,2015,38,1,3.0
10001018016P2,2016,38,1,3.0
10001018016P2,2017,38,1,4.0
10001018016P2,2018,38,2,4.0
10001018016P2,2019,38,2,4.0
10001018017P9,2013,49,1,3.0
10001018017P9,2014,49,1,3.0
10001018017P9,2015,49,1,3.0
10001018017P9,2016,49,1,3.0
10001018017P9,2017,49,1,3.0
10001018017P9,2018,49,1,3.0
10001018017P9,2019,49,1,3.0
10001018039P2,2017,45,1,3.0
10001018039P2,2018,45,1,3.0
10001018039P2,2019,45,1,3.0
10001018040P0,2017,46,1,3.0
10001018040P0,2018,46,1,3.0
10001018040P0,2019,46,1,3.0
11001011001P8,2013,7,1,3.0
11001011001P8,2014,7,1,3.0
11001011001P8,2015,7,1,3.0
11001011001P8,2016,7,1,3.0
11001011001P8,2017,7,1,3.0
11001011001P8,2018,7,1,3.0
11001011001P8,2019,7,1,3.0
11001011003P0,2013,41,1,3.0
11001011003P0,2014,41,1,3.0
11001011003P0,2015,41,1,3.0
11001011003P0,2016,41,1,3.0
11001011003P0,2017,41,1,4.0
11001011003P0,2018,41,2,4.0
11001011003P0,2019,41,2,4.0
11001011004P7,2013,42,2,3.5
11001011004P7,2014,42,2,3.5
11001011004P7,2015,42,2,3.5
11001011004P7,2016,42,2,3.5
11001011004P7,2017,42,2,4.0
11001011004P7,2018,42,2,4.0
11001011004P7,2019,42,2,4.0
11001011005P3,2013,22,2,4.0
11001011005P3,2014,22,2,4.0
11001011005P3,2015,22,2,4.0
11001011005P3,2016,22,2,4.0
11001011005P3,2017,22,2,4.0
11001011005P3,2018,22,2,4.0
11001011005P3,2019,22,2,4.0
11001011006P0,2013,45,1,3.0
