,AN_BASE,CD_PROGRAMA_IES,NM_MODALIDADE_PROGRAMA,Qtd_Proj,Pesquisas,Outros projetos,CD_CONCEITO_PROGRAMA,Qtd_Financiamentos,BOLSA,OUTRO AUXÍLIO FINANCEIRO,SEM AUXÍLIO
0,2013,12001015018P0,ACADÊMICO,9,8,1,3,19,13,5,1
1,2013,15001016028P4,ACADÊMICO,128,99,29,4,117,30,84,3
2,2013,15001016032P1,ACADÊMICO,114,110,4,6,100,11,88,1
3,2013,15001016044P0,ACADÊMICO,98,96,2,4,62,11,49,2
4,2013,15001016051P6,ACADÊMICO,35,31,4,4,36,18,17,1
5,2013,15001016068P6,ACADÊMICO,87,83,4,4,52,2,49,1
6,2013,15001016075P2,PROFISSIONAL,20,18,2,3,20,12,6,2
7,2013,15012018001P7,ACADÊMICO,112,108,4,4,61,4,38,19
8,2013,16003012003P7,ACADÊMICO,97,92,5,4,79,12,58,9
9,2013,16003012007P2,PROFISSIONAL,62,54,8,3,16,6,9,1
10,2013,20001010026P6,ACADÊMICO,58,55,3,3,54,4,48,2
11,2013,21001014003P9,ACADÊMICO,88,83,5,4,79,48,24,7
12,2013,21001014022P3,ACADÊMICO,147,140,7,3,129,95,33,1
13,2013,22001018071P7,PROFISSIONAL,72,70,2,4,17,2,14,1
14,2013,23001011024P1,ACADÊMICO,58,56,2,4,49,32,16,1
15,2013,23001011067P2,ACADÊMICO,14,13,1,3,12,9,2,1
16,2013,23002018003P0,ACADÊMICO,46,45,1,3,29,11,17,1
17,2013,23002018005P3,ACADÊMICO,146,137,9,3,74,41,32,1
18,2013,24001015061P7,ACADÊMICO,31,29,2,4,23,4,16,3
19,2013,24009016025P1,ACADÊMICO,25,20,5,3,44,18,24,2
20,2013,25001019007P5,ACADÊMICO,73,64,9,5,32,12,19,1
21,2013,25001019040P2,ACADÊMICO,129,120,9,5,111,42,68,1
22,2013,25001019083P3,ACADÊMICO,31,22,9,3,17,3,9,5
23,2013,27001016017P6,ACADÊMICO,83,80,3,4,152,44,92,16
24,2013,28001010041P0,ACADÊMICO,34,32,2,4,24,19,2,3
25,2013,28002016015P2,ACADÊMICO,49,35,14,3,21,3,16,2
26,2013,28007018016P0,ACADÊMICO,50,40,10,3,38,7,27,4
27,2013,30004012001P0,ACADÊMICO,23,18,5,3,19,12,6,1
28,2013,31001017016P1,ACADÊMICO,25,21,4,6,240,105,134,1
29,2013,31001017021P5,ACADÊMICO,104,99,5,7,98,80,17,1
30,2013,31001017023P8,ACADÊMICO,81,78,3,6,77,62,14,1
31,2013,31002013002P7,ACADÊMICO,42,41,1,6,138,74,63,1
32,2013,31003010087P2,PROFISSIONAL,53,45,8,3,30,12,17,1
33,2013,31003010092P6,PROFISSIONAL,22,19,3,3,15,2,12,1
34,2013,31005012021P0,ACADÊMICO,27,23,4,5,43,21,21,1
35,2013,31005012030P0,ACADÊMICO,38,37,1,4,39,32,6,1
36,2013,31010016002P6,ACADÊMICO,200,191,9,6,106,10,95,1
37,2013,31010016019P6,ACADÊMICO,136,135,1,6,109,22,86,1
38,2013,31011012009P7,PROFISSIONAL,37,36,1,5,14,4,9,1
39,2013,32001010033P6,ACADÊMICO,86,79,7,5,65,13,50,2
40,2013,32001010044P8,ACADÊMICO,82,79,3,3,28,19,8,1
41,2013,32002017034P9,ACADÊMICO,24,23,1,4,30,18,9,3
42,2013,32004010001P0,ACADÊMICO,106,101,5,5,71,31,39,1
43,2013,32004010002P6,ACADÊMICO,114,111,3,7,62,10,50,2
44,2013,32004010027P9,ACADÊMICO,43,35,8,3,53,23,25,5
45,2013,32005016009P3,ACADÊMICO,132,125,7,5,86,14,71,1
46,2013,32005016012P4,ACADÊMICO,125,106,19,4,43,15,26,2
