CD_PROGRAMA_IES,AN_BASE,CD_AREA_AVALIACAO,CONCEITO_PROGRAMA,Total_docentes,Mulheres,Homens,Brasileiros,Estrangeiros,QTDE_Regime_Parcial,QTDE_Regime_Integral,QTDE_Regime_Exclusivo,QTDE_Prof_Doutor,QTDE_Prof_NaoDoutor,QTDE_titulados_Brasil,QTDE_titulados_Exterior,Profs_Colaboradores,Profs_ServidoresPublicos,Profs_VinculoCLT,Profs_Aposentados,Profs_BolsaDeFixacao,Total_cursos,MEDIA_CONCEITO_CURSO
10001018002P1,2013,9,3,25,10,15,25,0,16,9,0,25,0,23,2,12,8,2,3,0,2,3.0
10001018002P1,2014,9,3,22,8,14,22,0,16,6,0,22,0,20,2,12,7,0,3,0,2,3.0
10001018002P1,2015,9,3,22,8,14,22,0,15,5,2,22,0,20,2,12,9,0,1,0,2,3.0
10001018002P1,2016,9,3,20,7,13,20,0,14,4,2,20,0,18,2,11,8,0,1,0,2,3.0
10001018002P1,2017,9,4,22,8,14,22,0,16,4,2,22,0,20,2,12,9,0,1,0,2,4.0
10001018002P1,2018,9,4,18,6,12,18,0,14,3,1,18,0,16,2,11,7,0,0,0,2,4.0
10001018002P1,2019,9,4,19,8,11,19,0,15,3,1,19,0,17,2,12,7,0,0,0,2,4.0
10001018004P4,2013,45,4,38,11,27,38,0,3,32,3,38,0,35,3,1,26,10,1,0,2,4.0
10001018004P4,2014,45,4,37,10,27,37,0,2,32,3,37,0,34,3,1,25,10,1,0,2,4.0
10001018004P4,2015,45,4,30,8,22,30,0,3,24,3,30,0,30,0,3,19,8,0,0,2,4.0
10001018004P4,2016,45,4,29,8,21,29,0,3,23,3,29,0,29,0,3,18,8,0,0,2,4.0
10001018004P4,2017,45,4,28,7,21,28,0,3,22,3,28,0,28,0,3,17,8,0,0,2,4.0
10001018004P4,2018,45,4,24,5,19,24,0,2,20,2,24,0,24,0,1,16,7,0,0,2,4.0
10001018004P4,2019,45,4,18,4,14,18,0,2,15,1,18,0,18,0,1,13,4,0,0,2,4.0
10001018005P0,2013,36,4,15,6,9,14,1,2,9,4,15,0,14,1,2,11,2,0,0,2,4.0
10001018005P0,2014,36,4,15,6,9,14,1,2,9,4,15,0,14,1,2,11,2,0,0,2,4.0
10001018005P0,2015,36,4,19,6,13,17,2,4,9,6,19,0,17,2,4,13,2,0,0,2,4.0
10001018005P0,2016,36,4,16,6,10,15,1,3,9,4,16,0,15,1,3,11,2,0,0,2,4.0
10001018005P0,2017,36,4,17,6,11,16,1,4,8,5,17,0,15,2,4,12,1,0,0,2,4.0
